,country_iso2_arrival,country_iso2_departure,num_flights
1560,MX,US,377
2194,US,CN,330
2233,US,MX,321
336,CA,US,302
952,GB,US,275
454,CN,US,268
2191,US,CA,262
1622,NL,GB,242
2209,US,GB,190
937,GB,NL,183
558,DE,ES,155
24,AE,IN,146
875,FR,US,143
826,FR,DE,138
1907,SA,AE,138
1147,IN,AE,134
724,ES,DE,134
832,FR,ES,133
1614,NL,DE,133
586,DE,NL,132
731,ES,FR,129
560,DE,FR,119
732,ES,GB,118
905,GB,ES,105
601,DE,US,105
748,ES,NL,100
907,GB,FR,97
561,DE,GB,96
43,AE,PK,95
856,FR,NL,94
836,FR,GB,94
1214,IT,DE,91
844,FR,IT,91
12,AE,EG,90
899,GB,DE,89
1222,IT,FR,89
752,ES,PT,87
49,AE,SA,86
882,GB,AE,83
1608,NL,CH,81
547,DE,CH,78
1621,NL,FR,78
1618,NL,ES,77
738,ES,IT,76
1788,PR,US,75
1803,PT,ES,73
570,DE,IT,72
590,DE,PT,72
1219,IT,ES,72
356,CH,DE,70
1238,IT,NL,69
1735,PK,AE,68
1615,NL,DK,68
1651,NL,US,68
2242,US,PR,65
1111,IE,GB,65
1956,SE,NL,65
1629,NL,IT,64
1342,KR,US,64
1805,PT,GB,64
1637,NL,NO,64
2224,US,JM,62
626,DK,NL,62
894,GB,CH,60
1295,JP,US,60
537,DE,AE,59
719,ES,CH,59
759,ES,US,59
469,CO,US,58
2202,US,DO,58
539,DE,AT,57
285,BR,PA,56
2189,US,BS,56
2208,US,FR,56
2226,US,JP,55
1223,IT,GB,55
648,DO,US,54
918,GB,IT,54
559,DE,FI,53
2177,US,AE,52
287,BR,US,52
1804,PT,FR,51
292,BS,US,51
589,DE,PL,51
1965,SG,AU,50
18,AE,GB,50
6,AE,BH,50
182,BE,DE,49
47,AE,RU,49
820,FR,CH,49
1665,NO,NL,47
437,CN,JP,46
1644,NL,SE,45
595,DE,SE,45
940,GB,PT,45
913,GB,IE,45
363,CH,GB,44
2235,US,NL,44
1914,SA,EG,44
859,FR,PT,43
612,DK,DE,43
715,ES,BE,43
2195,US,CO,43
236,BH,AE,43
97,AT,DE,42
1800,PT,DE,42
1945,SE,DE,42
2199,US,DE,42
2227,US,KR,42
444,CN,MO,42
1860,RU,AU,41
1716,PA,US,40
1808,PT,IT,40
1276,JP,CN,40
140,AU,SG,40
1328,KR,CN,39
2093,TR,DE,39
546,DE,CA,39
453,CN,TW,38
542,DE,BE,38
1121,IE,US,38
2237,US,PA,38
1502,MO,CN,38
1982,SG,MY,38
999,GR,DE,36
2252,US,TW,36
563,DE,HR,36
143,AU,US,35
557,DE,EG,35
1751,PL,DE,35
1577,MY,SG,34
599,DE,TR,34
1250,IT,US,33
1625,NL,IE,33
813,FR,AE,33
865,FR,SE,33
376,CH,NL,33
52,AE,TH,32
1858,RU,AE,32
700,EG,SA,32
11,AE,DE,32
1241,IT,PT,30
2188,US,BR,30
554,DE,DK,30
1344,KW,AE,30
944,GB,SE,30
186,BE,ES,30
1797,PT,CH,30
1639,NL,PL,30
618,DK,GB,29
2128,TW,CN,29
221,BE,US,29
438,CN,KR,29
139,AU,RU,29
360,CH,ES,29
379,CH,PT,29
2192,US,CH,28
1599,NL,AT,28
1260,JM,US,27
682,EG,DE,27
2026,SV,US,27
1950,SE,FR,27
1028,HK,CN,27
1656,NO,DE,27
673,EG,AE,27
1359,KZ,AE,26
481,CR,US,26
790,FI,DE,26
2247,US,SV,26
17,AE,FR,26
562,DE,GR,25
2181,US,AU,25
1116,IE,NL,25
2055,TH,CN,25
2196,US,CR,25
35,AE,LK,25
41,AE,OM,24
1207,IT,BE,24
587,DE,NO,24
197,BE,IT,24
346,CH,AE,23
362,CH,FR,23
1529,MV,AE,23
2282,VN,CN,23
40,AE,NP,22
1161,IN,LK,22
